OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price
600001,Roadys Truck Stop #6855,4872 I-10 Exit 202,Mcintosh,NM,66,3.153
600002,Sapp Bros #1810,8950 I-40 Exit 148,Cromwell,IA,393,3.158
600003,Road Ranger #2300,744 US-287 Exit 116,Clarence,PA,334,2.817
600004,Sapp Bros #853,4347 State Hwy 6 Exit 75,Chicago,IL,55,3.003
600005,QuikTrip #6425,4372 I-10 Exit 100,Ward,AR,152,2.940
600006,Bosselman Travel Center #4794,1846 State Hwy 6 Exit 367,Carleton,MI,386,3.031
600007,Roadys Truck Stop #7458,4301 I-40 Exit 227,Aventura,FL,285,3.111
600008,Road Ranger #6972,9334 I-95 Exit 377,Mercer,PA,357,2.958
600009,Sapp Bros #8831,5255 State Hwy 6 Exit 139,Lake Quivira,KS,318,3.323
600010,Pilot Travel Center #6576,7255 State Hwy 6 Exit 329,Emerald Bay,TX,78,3.143
600011,Roadys Truck Stop #4846,1601 I-95 Exit 230,San Dimas,CA,320,3.687
600012,Kwik Trip #5294,3649 State Hwy 6 Exit 243,Falls Creek,PA,27,3.314
600013,Loves Travel Stop #2723,4666 I-95 Exit 109,Riverdale,IA,57,2.974
600014,AMBEST #9891,8644 I-80 Exit 133,Denver,IA,127,3.163
600015,QuikTrip #9055,339 US-287 Exit 226,Apple Valley,MN,2,3.076
600016,Bosselman Travel Center #3391,6473 US-287 Exit 35,Presho,SD,261,3.451
600017,QuikTrip #6215,6553 I-95 Exit 92,Johnson City,KS,222,3.544
600018,TA Travel Center #922,3713 I-10 Exit 372,Shipshewana Lake,IN,82,2.881
600019,QuikTrip #3513,5708 State Hwy 6 Exit 61,Big Rock,IL,73,2.862
600020,TA Travel Center #1285,2628 I-80 Exit 3,Gulf Stream,FL,14,3.215
600021,Kwik Trip #5693,7601 I-10 Exit 260,Green Village,NJ,295,2.956
600022,Sapp Bros #3935,2424 I-10 Exit 157,Parma Heights,OH,93,3.278
600023,Sapp Bros #6462,6336 I-40 Exit 4,Hartley,IA,298,2.861
600024,Pilot Travel Center #5566,8146 I-95 Exit 109,Epworth,IA,209,3.037
600025,AMBEST #856,3467 I-40 Exit 104,Elwood,IL,138,3.429
600026,Flying J #6746,5643 I-10 Exit 97,Elroy,NC,65,3.199
600027,Bosselman Travel Center #8547,5394 State Hwy 6 Exit 375,Wilhoit,AZ,275,3.485
600028,Bosselman Travel Center #7371,7328 I-40 Exit 378,Hybla Valley,VA,256,3.423
600029,Pilot Travel Center #7082,820 I-40 Exit 256,Heavener,OK,140,3.101
600030,Petro Stopping Center #4025,4155 State Hwy 6 Exit 17,Howe,IN,27,3.068
600031,Petro Stopping Center #9787,1399 I-10 Exit 339,Chatham,NJ,250,3.445
600032,Petro Stopping Center #3327,6449 I-95 Exit 225,Barkeyville,PA,43,3.074
600033,AMBEST #6351,4005 I-95 Exit 360,Rockbridge,IL,235,2.753
600034,Sapp Bros #7931,8124 US-287 Exit 4,Paulding,OH,379,3.226
600035,Sapp Bros #4277,6238 I-95 Exit 224,Nesquehoning,PA,220,3.158
600036,Kwik Trip #8283,5139 I-40 Exit 141,Cheney,NE,88,3.199
600037,QuikTrip #8388,6023 I-80 Exit 322,Domino,TX,33,3.011
600038,Bosselman Travel Center #8343,8301 State Hwy 6 Exit 89,Raleigh,IL,215,3.332
600039,Flying J #4330,9470 I-80 Exit 43,Hampton,IL,325,3.157
600040,Flying J #9541,9688 I-95 Exit 82,Sunny Isles Beach,FL,63,3.037
600041,Sapp Bros #9327,490 I-40 Exit 237,Walton Hills,OH,358,3.145
600042,TA Travel Center #210,4842 I-10 Exit 140,Woodlawn Park,OK,262,3.005
600043,Petro Stopping Center #5852,6979 State Hwy 6 Exit 248,Berea,OH,37,2.885
600044,Petro Stopping Center #1909,7712 I-10 Exit 357,Cammack Village,AR,195,3.269
600045,Roadys Truck Stop #215,4961 US-287 Exit 214,Blue Grass,IA,281,2.991
600046,Loves Travel Stop #1717,6684 I-10 Exit 379,Wesson,MS,159,2.932
600047,Sapp Bros #7311,6664 State Hwy 6 Exit 342,Cimarron,KS,231,3.212
600048,Sapp Bros #7863,7194 State Hwy 6 Exit 206,Fence Lake,NM,129,3.242
600049,QuikTrip #6556,867 I-95 Exit 181,South Rockwood,MI,65,3.354
600050,Sapp Bros #2388,9702 State Hwy 6 Exit 160,Clyde Hill,WA,169,3.941
600051,Sapp Bros #3131,1256 State Hwy 6 Exit 187,Anderson,NJ,32,3.032
600052,Kwik Trip #8211,8770 I-80 Exit 304,Unity,IL,286,3.282
600053,Kwik Trip #8089,2452 State Hwy 6 Exit 185,Fairmont,NE,154,3.154
600054,Pilot Travel Center #7163,1361 I-10 Exit 359,Tampa,KS,284,3.033
600055,Sapp Bros #765,6885 I-95 Exit 88,Belgrade,MT,305,3.685
600056,AMBEST #3903,8721 State Hwy 6 Exit 352,River Rouge,MI,142,2.934
600057,Pilot Travel Center #1110,6324 State Hwy 6 Exit 72,Port Colden,NJ,157,2.716
600058,Flying J #9670,713 I-80 Exit 84,Mayer,AZ,45,3.733
600059,Petro Stopping Center #4149,1011 I-80 Exit 46,Lauderdale,MN,279,2.896
600060,Flying J #4061,424 I-40 Exit 56,Anaconda Deer Lodge,MT,58,2.988
